id;name;clothing_type;season;colour;material
5b80a03e-707c-4204-8f4c-abe0ff161ce1;blue flower dress;dress;summer;blue;polyester
ff9b2122-b2c2-48fa-8737-b7ceb33aee3f;short purpole dress;dress;all;purple;polyester
7872aa91-7bdf-4b8f-946a-5e75d80fdb8e;blue evening dress;dress;all;blue;polyester
70e9c459-c85a-4a84-a860-fac3bf4c39aa;red short evening dress;dress;summer;red;polyester
abee565c-ddae-41ab-8bdf-6ab29dd1a338;red long evening dress;dress;all;red;polyester
d4b93581-5dbc-4f74-8eaa-75ae223043a0;black mini skirt;skirt;summer;black;polyester
c05b3cdf-f39d-44e4-b656-03867929b3d4;red and cream jumpsuit;jumpsuit;all;red and cream;polyester
65cbb673-1571-468c-89f4-1d7d6a3b6704;black and white Ted Baker jumpsuit;jumpsuit;all;black and white;polyester
8f753611-b631-4205-93c5-a50beb595fa9;white V-neck business top;top;summer;white;polyester
94de7ff9-8315-425c-9fb9-fd10f9db04bc;white top gold clasp;top;summer;white;polyester
2489747b-f166-433b-8391-f3cf4d188658;white strappy formal top;top;summer;white;polyester
e6d26233-9711-4ce4-8b74-a1aceb40af4d;white blouse;blouse;all;white;cotton
c49837b1-cf5c-48db-a7ab-2bfc9f1245ac;black formal trousers;trousers;all;black;polyester
6bcf9b34-c262-4fc5-b84b-bc7537aa8f83;cream zip jumper;jumper;transition;cream;wool
0fcb41ce-c5a2-41fb-ba99-4d3de8250cea;black top gold chain;top;winter / transition;black;wool
a48b4d45-9a0b-41da-8123-335c581d808c;grey top gold chain;top;winter / transition;grey;wool
5b1e8d29-046b-4a67-8bfc-a30f46112d51;thin grey rollneck;jumper;winter / transition;grey;kashmir
ec91bea3-23b0-4b0f-b4d0-0d54e8a65622;thin black rollneck;jumper;winter / transition;black;cotton
ededb94a-9c1f-4466-9c7f-0b86bf5e2c5a;thin camel rollneck;jumper;winter / transition;camel;cotton
93ffadbc-23ab-4c40-a536-d0598db1fafd;thin white rollneck;jumper;winter / transition;white;cotton
1f93c29d-506b-4d40-b32a-b593445e0926;black short sleeved mockneck jumper;jumper;transition;black;jumper
bd3bb1a1-a8e0-4f0d-8159-8fa699dd70a7;thin emerald jumper;jumper;winter;emerald;wool
345b8e7b-fc8a-4fd8-b3ab-f39a3c7431e2;blue and white kashmir jumper;jumper;winter;blue and white;kashmir
2b11d29e-ccf6-4fad-88a0-ab10bcaf42e9;burgundy kashmir jumper;jumper;winter;burgundy;kashmir
21755677-5d49-4229-b1f3-a89297837b9a;turkois jumper;jumper;winter;turkois;wool
ed85c068-596d-4066-a9dd-b92c044197a4;pint off the shoulder jumper;jumper;winter;pink;wool
